,Year,Month,Value,city
5,2021,Jul,267.241,../data/cpi_data/Minneapolis
6,2021,Jun,,../data/cpi_data/Minneapolis
7,2021,Mar,259.187,../data/cpi_data/Minneapolis
8,2021,May,262.898,../data/cpi_data/Minneapolis
9,2021,Nov,272.859,../data/cpi_data/Minneapolis
10,2021,Oct,,../data/cpi_data/Minneapolis
11,2021,Sep,270.24,../data/cpi_data/Minneapolis
12,2022,Apr,,../data/cpi_data/Minneapolis
13,2022,Aug,,../data/cpi_data/Minneapolis
14,2022,Dec,,../data/cpi_data/Minneapolis
15,2022,Feb,,../data/cpi_data/Minneapolis
16,2022,Jan,274.725,../data/cpi_data/Minneapolis
17,2022,Jul,289.265,../data/cpi_data/Minneapolis
18,2022,Jun,,../data/cpi_data/Minneapolis
19,2022,Mar,280.388,../data/cpi_data/Minneapolis
20,2022,May,285.784,../data/cpi_data/Minneapolis
21,2022,Nov,287.396,../data/cpi_data/Minneapolis
22,2022,Oct,,../data/cpi_data/Minneapolis
23,2022,Sep,290.325,../data/cpi_data/Minneapolis
24,2023,Apr,,../data/cpi_data/Minneapolis
25,2023,Aug,,../data/cpi_data/Minneapolis
26,2023,Dec,,../data/cpi_data/Minneapolis
27,2023,Feb,,../data/cpi_data/Minneapolis
28,2023,Jan,288.761,../data/cpi_data/Minneapolis
29,2023,Jul,292.223,../data/cpi_data/Minneapolis
30,2023,Jun,,../data/cpi_data/Minneapolis
31,2023,Mar,289.968,../data/cpi_data/Minneapolis
32,2023,May,291.001,../data/cpi_data/Minneapolis
33,2023,Nov,,../data/cpi_data/Minneapolis
34,2023,Oct,,../data/cpi_data/Minneapolis
35,2023,Sep,,../data/cpi_data/Minneapolis
0,2021,Apr,242.022,../data/cpi_data/st_louis
1,2021,Aug,250.237,../data/cpi_data/st_louis
2,2021,Dec,253.618,../data/cpi_data/st_louis
3,2021,Feb,237.018,../data/cpi_data/st_louis
4,2021,Jan,,../data/cpi_data/st_louis
5,2021,Jul,,../data/cpi_data/st_louis
6,2021,Jun,247.777,../data/cpi_data/st_louis
7,2021,Mar,,../data/cpi_data/st_louis
8,2021,May,,../data/cpi_data/st_louis
9,2021,Nov,,../data/cpi_data/st_louis
10,2021,Oct,251.624,../data/cpi_data/st_louis
11,2021,Sep,,../data/cpi_data/st_louis
12,2022,Apr,262.296,../data/cpi_data/st_louis
13,2022,Aug,268.979,../data/cpi_data/st_louis
14,2022,Dec,269.44,../data/cpi_data/st_louis
15,2022,Feb,256.458,../data/cpi_data/st_louis
16,2022,Jan,,../data/cpi_data/st_louis
17,2022,Jul,,../data/cpi_data/st_louis
18,2022,Jun,268.513,../data/cpi_data/st_louis
19,2022,Mar,,../data/cpi_data/st_louis
20,2022,May,,../data/cpi_data/st_louis
21,2022,Nov,,../data/cpi_data/st_louis
22,2022,Oct,269.134,../data/cpi_data/st_louis
23,2022,Sep,,../data/cpi_data/st_louis
24,2023,Apr,273.234,../data/cpi_data/st_louis
25,2023,Aug,277.451,../data/cpi_data/st_louis
26,2023,Dec,,../data/cpi_data/st_louis
27,2023,Feb,271.581,../data/cpi_data/st_louis
28,2023,Jan,,../data/cpi_data/st_louis
29,2023,Jul,,../data/cpi_data/st_louis
30,2023,Jun,276.792,../data/cpi_data/st_louis
31,2023,Mar,,../data/cpi_data/st_louis
32,2023,May,,../data/cpi_data/st_louis
33,2023,Nov,,../data/cpi_data/st_louis
34,2023,Oct,,../data/cpi_data/st_louis
35,2023,Sep,,../data/cpi_data/st_louis
0,2021,Apr,257.074,../data/cpi_data/atlanta
1,2021,Aug,264.502,../data/cpi_data/atlanta
2,2021,Dec,273.424,../data/cpi_data/atlanta
3,2021,Feb,252.972,../data/cpi_data/atlanta
4,2021,Jan,,../data/cpi_data/atlanta
5,2021,Jul,,../data/cpi_data/atlanta
6,2021,Jun,261.662,../data/cpi_data/atlanta
7,2021,Mar,,../data/cpi_data/atlanta
8,2021,May,,../data/cpi_data/atlanta
9,2021,Nov,,../data/cpi_data/atlanta
10,2021,Oct,268.362,../data/cpi_data/atlanta
11,2021,Sep,,../data/cpi_data/atlanta
12,2022,Apr,284.925,../data/cpi_data/atlanta
13,2022,Aug,295.469,../data/cpi_data/atlanta
14,2022,Dec,295.452,../data/cpi_data/atlanta
15,2022,Feb,279.743,../data/cpi_data/atlanta
16,2022,Jan,,../data/cpi_data/atlanta
17,2022,Jul,,../data/cpi_data/atlanta
18,2022,Jun,291.764,../data/cpi_data/atlanta
19,2022,Mar,,../data/cpi_data/atlanta
20,2022,May,,../data/cpi_data/atlanta
21,2022,Nov,,../data/cpi_data/atlanta
22,2022,Oct,297.058,../data/cpi_data/atlanta
23,2022,Sep,,../data/cpi_data/atlanta
24,2023,Apr,301.447,../data/cpi_data/atlanta
25,2023,Aug,308.336,../data/cpi_data/atlanta
26,2023,Dec,,../data/cpi_data/atlanta
27,2023,Feb,299.916,../data/cpi_data/atlanta
28,2023,Jan,,../data/cpi_data/atlanta
29,2023,Jul,,../data/cpi_data/atlanta
30,2023,Jun,305.066,../data/cpi_data/atlanta
31,2023,Mar,,../data/cpi_data/atlanta
32,2023,May,,../data/cpi_data/atlanta
33,2023,Nov,,../data/cpi_data/atlanta
34,2023,Oct,,../data/cpi_data/atlanta
35,2023,Sep,,../data/cpi_data/atlanta
0,2021,Apr,150.787,../data/cpi_data/Phoenix
1,2021,Aug,153.931,../data/cpi_data/Phoenix
2,2021,Dec,159.85,../data/cpi_data/Phoenix
3,2021,Feb,147.186,../data/cpi_data/Phoenix
4,2021,Jan,,../data/cpi_data/Phoenix
5,2021,Jul,,../data/cpi_data/Phoenix
6,2021,Jun,153.672,../data/cpi_data/Phoenix
7,2021,Mar,,../data/cpi_data/Phoenix
8,2021,May,,../data/cpi_data/Phoenix
9,2021,Nov,,../data/cpi_data/Phoenix
10,2021,Oct,157.254,../data/cpi_data/Phoenix
11,2021,Sep,,../data/cpi_data/Phoenix
12,2022,Apr,167.396,../data/cpi_data/Phoenix
13,2022,Aug,173.952,../data/cpi_data/Phoenix
14,2022,Dec,175.019,../data/cpi_data/Phoenix
