,Year,Month,Value,city
7,2021,Mar,,./cpi_data/Baltimore
8,2021,May,,./cpi_data/Baltimore
9,2021,Nov,,./cpi_data/Baltimore
10,2021,Oct,277.415,./cpi_data/Baltimore
11,2021,Sep,,./cpi_data/Baltimore
12,2022,Apr,290.688,./cpi_data/Baltimore
13,2022,Aug,298.641,./cpi_data/Baltimore
14,2022,Dec,300.182,./cpi_data/Baltimore
15,2022,Feb,286.243,./cpi_data/Baltimore
16,2022,Jan,,./cpi_data/Baltimore
17,2022,Jul,,./cpi_data/Baltimore
18,2022,Jun,298.273,./cpi_data/Baltimore
19,2022,Mar,,./cpi_data/Baltimore
20,2022,May,,./cpi_data/Baltimore
21,2022,Nov,,./cpi_data/Baltimore
22,2022,Oct,300.628,./cpi_data/Baltimore
23,2022,Sep,,./cpi_data/Baltimore
24,2023,Apr,306.015,./cpi_data/Baltimore
25,2023,Aug,307.978,./cpi_data/Baltimore
26,2023,Dec,,./cpi_data/Baltimore
27,2023,Feb,303.749,./cpi_data/Baltimore
28,2023,Jan,,./cpi_data/Baltimore
29,2023,Jul,,./cpi_data/Baltimore
30,2023,Jun,306.506,./cpi_data/Baltimore
31,2023,Mar,,./cpi_data/Baltimore
32,2023,May,,./cpi_data/Baltimore
33,2023,Nov,,./cpi_data/Baltimore
34,2023,Oct,,./cpi_data/Baltimore
35,2023,Sep,,./cpi_data/Baltimore
0,2021,Apr,,./cpi_data/Tampa CPI.xlsx
1,2021,Aug,,./cpi_data/Tampa CPI.xlsx
2,2021,Dec,,./cpi_data/Tampa CPI.xlsx
3,2021,Feb,,./cpi_data/Tampa CPI.xlsx
4,2021,Jan,239.135,./cpi_data/Tampa CPI.xlsx
5,2021,Jul,248.811,./cpi_data/Tampa CPI.xlsx
6,2021,Jun,,./cpi_data/Tampa CPI.xlsx
7,2021,Mar,242.91,./cpi_data/Tampa CPI.xlsx
8,2021,May,245.419,./cpi_data/Tampa CPI.xlsx
9,2021,Nov,255.851,./cpi_data/Tampa CPI.xlsx
10,2021,Oct,,./cpi_data/Tampa CPI.xlsx
11,2021,Sep,251.221,./cpi_data/Tampa CPI.xlsx
12,2022,Apr,,./cpi_data/Tampa CPI.xlsx
13,2022,Aug,,./cpi_data/Tampa CPI.xlsx
14,2022,Dec,,./cpi_data/Tampa CPI.xlsx
15,2022,Feb,,./cpi_data/Tampa CPI.xlsx
16,2022,Jan,262.052,./cpi_data/Tampa CPI.xlsx
17,2022,Jul,276.75,./cpi_data/Tampa CPI.xlsx
18,2022,Jun,,./cpi_data/Tampa CPI.xlsx
