,Year,Month,Value,city
28,2023,Jan,,st_louis
29,2023,Jul,,st_louis
30,2023,Jun,276.792,st_louis
31,2023,Mar,,st_louis
32,2023,May,,st_louis
33,2023,Nov,,st_louis
34,2023,Oct,,st_louis
35,2023,Sep,,st_louis
0,2021,Apr,257.074,atlanta
1,2021,Aug,264.502,atlanta
2,2021,Dec,273.424,atlanta
3,2021,Feb,252.972,atlanta
4,2021,Jan,,atlanta
5,2021,Jul,,atlanta
6,2021,Jun,261.662,atlanta
7,2021,Mar,,atlanta
8,2021,May,,atlanta
9,2021,Nov,,atlanta
10,2021,Oct,268.362,atlanta
11,2021,Sep,,atlanta
12,2022,Apr,284.925,atlanta
13,2022,Aug,295.469,atlanta
14,2022,Dec,295.452,atlanta
15,2022,Feb,279.743,atlanta
16,2022,Jan,,atlanta
17,2022,Jul,,atlanta
18,2022,Jun,291.764,atlanta
19,2022,Mar,,atlanta
20,2022,May,,atlanta
21,2022,Nov,,atlanta
22,2022,Oct,297.058,atlanta
23,2022,Sep,,atlanta
24,2023,Apr,301.447,atlanta
25,2023,Aug,308.336,atlanta
26,2023,Dec,,atlanta
27,2023,Feb,299.916,atlanta
28,2023,Jan,,atlanta
29,2023,Jul,,atlanta
30,2023,Jun,305.066,atlanta
31,2023,Mar,,atlanta
32,2023,May,,atlanta
33,2023,Nov,,atlanta
34,2023,Oct,,atlanta
35,2023,Sep,,atlanta
0,2021,Apr,150.787,Phoenix
1,2021,Aug,153.931,Phoenix
2,2021,Dec,159.85,Phoenix
3,2021,Feb,147.186,Phoenix
4,2021,Jan,,Phoenix
5,2021,Jul,,Phoenix
6,2021,Jun,153.672,Phoenix
7,2021,Mar,,Phoenix
8,2021,May,,Phoenix
9,2021,Nov,,Phoenix
10,2021,Oct,157.254,Phoenix
11,2021,Sep,,Phoenix
12,2022,Apr,167.396,Phoenix
13,2022,Aug,173.952,Phoenix
14,2022,Dec,175.019,Phoenix
15,2022,Feb,163.261,Phoenix
16,2022,Jan,,Phoenix
17,2022,Jul,,Phoenix
18,2022,Jun,172.643,Phoenix
19,2022,Mar,,Phoenix
20,2022,May,,Phoenix
21,2022,Nov,,Phoenix
22,2022,Oct,176.337,Phoenix
23,2022,Sep,,Phoenix
24,2023,Apr,179.824,Phoenix
25,2023,Aug,180.387,Phoenix
26,2023,Dec,,Phoenix
27,2023,Feb,177.118,Phoenix
28,2023,Jan,,Phoenix
29,2023,Jul,,Phoenix
30,2023,Jun,180.251,Phoenix
31,2023,Mar,,Phoenix
32,2023,May,,Phoenix
33,2023,Nov,,Phoenix
34,2023,Oct,,Phoenix
35,2023,Sep,,Phoenix
0,2021,Apr,280.39,Miami
1,2021,Aug,285.472,Miami
2,2021,Dec,293.284,Miami
3,2021,Feb,275.849,Miami
4,2021,Jan,,Miami
5,2021,Jul,,Miami
6,2021,Jun,284.797,Miami
7,2021,Mar,,Miami
8,2021,May,,Miami
9,2021,Nov,,Miami
10,2021,Oct,289.793,Miami
11,2021,Sep,,Miami
12,2022,Apr,305.958,Miami
13,2022,Aug,314.69,Miami
14,2022,Dec,322.21,Miami
15,2022,Feb,301.458,Miami
16,2022,Jan,,Miami
17,2022,Jul,,Miami
18,2022,Jun,313.509,Miami
19,2022,Mar,,Miami
20,2022,May,,Miami
21,2022,Nov,,Miami
22,2022,Oct,317.615,Miami
23,2022,Sep,,Miami
24,2023,Apr,333.592,Miami
25,2023,Aug,339.347,Miami
26,2023,Dec,,Miami
27,2023,Feb,329.065,Miami
28,2023,Jan,,Miami
29,2023,Jul,,Miami
30,2023,Jun,335.27,Miami
31,2023,Mar,,Miami
32,2023,May,,Miami
33,2023,Nov,,Miami
34,2023,Oct,,Miami
35,2023,Sep,,Miami
0,2021,Apr,,Denver
1,2021,Aug,,Denver
2,2021,Dec,,Denver
3,2021,Feb,,Denver
4,2021,Jan,272.156,Denver
5,2021,Jul,285.268,Denver
6,2021,Jun,,Denver
7,2021,Mar,274.43,Denver
8,2021,May,280.154,Denver
9,2021,Nov,289.621,Denver
10,2021,Oct,,Denver
11,2021,Sep,286.186,Denver
12,2022,Apr,,Denver
13,2022,Aug,,Denver
14,2022,Dec,,Denver
15,2022,Feb,,Denver
16,2022,Jan,293.58,Denver
17,2022,Jul,308.728,Denver
18,2022,Jun,,Denver
19,2022,Mar,299.529,Denver
20,2022,May,303.51,Denver
21,2022,Nov,309.655,Denver
22,2022,Oct,,Denver
23,2022,Sep,308.211,Denver
24,2023,Apr,,Denver
25,2023,Aug,,Denver
26,2023,Dec,,Denver
27,2023,Feb,,Denver
28,2023,Jan,312.392,Denver
29,2023,Jul,323.298,Denver
30,2023,Jun,,Denver
31,2023,Mar,316.566,Denver
32,2023,May,319.132,Denver
33,2023,Nov,,Denver
34,2023,Oct,,Denver
35,2023,Sep,,Denver
0,2021,Apr,,San_Diego
1,2021,Aug,,San_Diego
2,2021,Dec,,San_Diego
3,2021,Feb,,San_Diego
4,2021,Jan,307.688,San_Diego
5,2021,Jul,323.906,San_Diego
6,2021,Jun,,San_Diego
7,2021,Mar,315.035,San_Diego
8,2021,May,317.141,San_Diego
9,2021,Nov,326.422,San_Diego
10,2021,Oct,,San_Diego
11,2021,Sep,324.138,San_Diego
12,2022,Apr,,San_Diego
13,2022,Aug,,San_Diego
14,2022,Dec,,San_Diego
15,2022,Feb,,San_Diego
16,2022,Jan,332.99,San_Diego
17,2022,Jul,347.462,San_Diego
18,2022,Jun,,San_Diego
19,2022,Mar,339.852,San_Diego
20,2022,May,343.502,San_Diego
21,2022,Nov,348.145,San_Diego
22,2022,Oct,,San_Diego
23,2022,Sep,350.721,San_Diego
24,2023,Apr,,San_Diego
25,2023,Aug,,San_Diego
26,2023,Dec,,San_Diego
27,2023,Feb,,San_Diego
28,2023,Jan,354.453,San_Diego
29,2023,Jul,362.412,San_Diego
30,2023,Jun,,San_Diego
31,2023,Mar,358.026,San_Diego
32,2023,May,361.339,San_Diego
33,2023,Nov,,San_Diego
34,2023,Oct,,San_Diego
35,2023,Sep,,San_Diego
0,2021,Apr,,Dallas
1,2021,Aug,,Dallas
2,2021,Dec,,Dallas
3,2021,Feb,,Dallas
4,2021,Jan,242.513,Dallas
5,2021,Jul,253.319,Dallas
6,2021,Jun,,Dallas
7,2021,Mar,246.995,Dallas
8,2021,May,251.228,Dallas
9,2021,Nov,257.394,Dallas
10,2021,Oct,,Dallas
11,2021,Sep,254.95,Dallas
12,2022,Apr,,Dallas
13,2022,Aug,,Dallas
14,2022,Dec,,Dallas
15,2022,Feb,,Dallas
16,2022,Jan,261.499,Dallas
17,2022,Jul,277.005,Dallas
18,2022,Jun,,Dallas
19,2022,Mar,269.347,Dallas
20,2022,May,274.196,Dallas
21,2022,Nov,279,Dallas
22,2022,Oct,,Dallas
23,2022,Sep,278.297,Dallas
24,2023,Apr,,Dallas
25,2023,Aug,,Dallas
26,2023,Dec,,Dallas
27,2023,Feb,,Dallas
28,2023,Jan,281.117,Dallas
29,2023,Jul,288.006,Dallas
30,2023,Jun,,Dallas
31,2023,Mar,284.862,Dallas
32,2023,May,287.133,Dallas
33,2023,Nov,,Dallas
34,2023,Oct,,Dallas
35,2023,Sep,,Dallas
0,2021,Apr,236.604,Houston
1,2021,Aug,241.088,Houston
2,2021,Dec,245.509,Houston
3,2021,Feb,232.442,Houston
4,2021,Jan,,Houston
5,2021,Jul,,Houston
6,2021,Jun,239.374,Houston
7,2021,Mar,,Houston
8,2021,May,,Houston
9,2021,Nov,,Houston
10,2021,Oct,243.813,Houston
11,2021,Sep,,Houston
12,2022,Apr,256.668,Houston
13,2022,Aug,264.074,Houston
14,2022,Dec,258.588,Houston
15,2022,Feb,250.563,Houston
16,2022,Jan,,Houston
17,2022,Jul,,Houston
18,2022,Jun,263.874,Houston
19,2022,Mar,,Houston
20,2022,May,,Houston
21,2022,Nov,,Houston
22,2022,Oct,262.423,Houston
23,2022,Sep,,Houston
24,2023,Apr,267.002,Houston
25,2023,Aug,271.154,Houston
26,2023,Dec,,Houston
27,2023,Feb,263.537,Houston
28,2023,Jan,,Houston
29,2023,Jul,,Houston
30,2023,Jun,268.379,Houston
31,2023,Mar,,Houston
32,2023,May,,Houston
33,2023,Nov,,Houston
34,2023,Oct,,Houston
35,2023,Sep,,Houston
